Model,Target,BalancedAcc,Precision,SampleSize
microsoft/phi-3-mini-128k-instruct,Animal pathogenicity,0.5925858853075533,0.8546511627906976,1598
google/gemma-7b-it,Animal pathogenicity,0.6598174303435828,0.563973063973064,838
microsoft/wizardlm-2-8x22b,Animal pathogenicity,0.8032575560556969,0.7157039711191335,2037
mistralai/mixtral-8x7b-instruct:nitro,Animal pathogenicity,0.6940154844109646,0.8898305084745762,538
meta-llama/llama-3-70b-instruct:nitro,Animal pathogenicity,0.8350594227504244,0.852112676056338,690
anthropic/claude-3.5-sonnet,Animal pathogenicity,0.7840434419381788,0.88,741
google/gemini-pro,Animal pathogenicity,0.8472661870503597,0.7889908256880734,717
anthropic/claude-3-haiku:beta,Animal pathogenicity,0.8553865068387889,0.8247011952191236,538
google/gemini-flash-1.5,Animal pathogenicity,0.8494884824606568,0.7903780068728522,603
openchat/openchat-7b,Animal pathogenicity,0.7372116018457482,0.8700564971751412,657
openai/gpt-3.5-turbo-0125,Biosafety level,0.6613628403376273,0.8604651162790697,3440
openai/gpt-4o,Biosafety level,0.8673626728912859,0.8642509464575446,3698
openai/gpt-4,Biosafety level,0.7779252313343222,0.8381998392713635,3733
meta-llama/llama-3-8b-instruct:nitro,Biosafety level,0.5291167591781089,0.7319054652880355,1354
perplexity/llama-3-sonar-small-32k-chat,Biosafety level,0.5308469497256474,0.7327852004110997,973
mistralai/mistral-7b-instruct,Biosafety level,0.6190222820657604,0.7337826453243471,1187
google/palm-2-chat-bison-32k,Biosafety level,0.7814776270224044,0.8444070647603028,2378
google/gemini-pro-1.5,Biosafety level,0.8826280002294332,0.8149556400506971,2367
microsoft/phi-3-mini-128k-instruct,Biosafety level,0.7082086157364548,0.6449522510231923,2932
google/gemma-7b-it,Biosafety level,0.5525270653140241,0.3459495351925631,1506
microsoft/wizardlm-2-8x22b,Biosafety level,0.7392765582433533,0.7294659799403632,3689
mistralai/mixtral-8x7b-instruct:nitro,Biosafety level,0.5989188405403078,0.8602941176470589,952
openchat/openchat-7b,Biosafety level,0.6869270071674881,0.2491554054054054,1184
anthropic/claude-3-haiku:beta,Biosafety level,0.8028316538447647,0.7111553784860558,1004
google/gemini-flash-1.5,Biosafety level,0.5278490028490029,0.7403760071620412,1117
google/gemini-pro,Biosafety level,0.8860154735560015,0.772189349112426,1352
anthropic/claude-3.5-sonnet,Biosafety level,0.9150358290091426,0.8725868725868726,1295
meta-llama/llama-3-70b-instruct:nitro,Biosafety level,0.8031434796140678,0.8644859813084113,1284
